2026-05-07 00:16:30.1573|0|DEBUG|Lab03.Program|init main |url: |action: 
2026-05-07 00:16:31.3725|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5279 |url: |action: 
2026-05-07 00:16:31.4988|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2026-05-07 00:16:31.4988|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2026-05-07 00:16:31.4988|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\ITI\WebApi\lec01\Lab03 |url: |action: 
2026-05-07 00:16:45.5364|0|INFO|Lab03.Middleware.LoggingMiddleware|Handling request: GET /swagger |url: http://localhost/swagger|action: 
2026-05-07 00:16:45.5636|0|INFO|Lab03.Middleware.LoggingMiddleware|Handling request: GET /swagger/index.html |url: http://localhost/swagger/index.html|action: 
2026-05-07 00:16:45.7312|0|INFO|Lab03.Middleware.LoggingMiddleware|Handling request: GET /swagger/index.css |url: http://localhost/swagger/index.css|action: 
2026-05-07 00:16:45.7312|0|INFO|Lab03.Middleware.LoggingMiddleware|Handling request: GET /swagger/swagger-ui.css |url: http://localhost/swagger/swagger-ui.css|action: 
2026-05-07 00:16:45.7312|0|INFO|Lab03.Middleware.LoggingMiddleware|Handling request: GET /swagger/swagger-ui-bundle.js |url: http://localhost/swagger/swagger-ui-bundle.js|action: 
2026-05-07 00:16:45.7312|0|INFO|Lab03.Middleware.LoggingMiddleware|Handling request: GET /swagger/swagger-ui-standalone-preset.js |url: http://localhost/swagger/swagger-ui-standalone-preset.js|action: 
2026-05-07 00:16:45.7312|0|INFO|Lab03.Middleware.LoggingMiddleware|Handling request: GET /swagger/index.js |url: http://localhost/swagger/index.js|action: 
2026-05-07 00:16:46.0265|0|INFO|Lab03.Middleware.LoggingMiddleware|Handling request: GET /swagger/v1/swagger.json |url: http://localhost/swagger/v1/swagger.json|action: 
2026-05-07 00:16:46.0436|0|INFO|Lab03.Middleware.LoggingMiddleware|Handling request: GET /swagger/favicon-32x32.png |url: http://localhost/swagger/favicon-32x32.png|action: 
2026-05-07 00:16:50.0898|0|INFO|Lab03.Middleware.LoggingMiddleware|Handling request: GET /api/Student/getAll |url: http://localhost/api/Student/getAll|action: GetAll
2026-05-07 00:21:30.6797|0|DEBUG|Lab03.Program|init main |url: |action: 
2026-05-07 00:21:31.3769|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5279 |url: |action: 
2026-05-07 00:21:31.6959|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2026-05-07 00:21:31.6959|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
